,program,input_size,real_time,cpu_time,energy,cycles,instructions
98,sobel_sequential,8192,1.49375,1.49347,18.08015,8938149333.000000,18240610207.000000
99,sobel_sequential,8192,1.51745,1.51651,17.83431,8961689078.000000,18241990546.000000
100,sobel_sequential,16384,6.64154,6.63859,59.55271,35636856109.000000,73041945668.000000
101,sobel_sequential,16384,6.13628,6.13463,69.35114,35707948280.000000,73034871482.000000
102,sobel_sequential,16384,6.34697,6.34407,69.91761,35884016524.000000,73045747641.000000
103,sobel_sequential,16384,6.51139,6.51032,61.98739,35665343869.000000,73043188539.000000
104,sobel_sequential,16384,6.47758,6.4762,61.5065,35684698010.000000,73047529256.000000
105,sobel_sequential,16384,6.00792,6.00475,69.54322,35636468974.000000,73035765084.000000
106,sobel_sequential,16384,6.28935,6.28756,65.16469,35680350674.000000,73049924681.000000
107,sobel_sequential,16384,6.54758,6.54645,60.40988,35607384989.000000,73046437781.000000
108,sobel_sequential,16384,6.28449,6.28279,65.53316,35628399730.000000,73043979793.000000
109,sobel_sequential,16384,5.86961,5.86804,73.86321,35683289128.000000,73043713143.000000
110,sobel_sequential,16384,6.38983,6.38772,63.73537,35673049983.000000,73045843924.000000
111,sobel_sequential,16384,6.58102,6.57981,60.51547,35638024607.000000,73044806689.000000
112,sobel_sequential,16384,6.20504,6.20189,67.1559,35691183486.000000,73039297266.000000
113,sobel_sequential,16384,6.25079,6.24923,66.40669,36217727776.000000,73041204947.000000
114,sobel_sequential,16384,6.46532,6.46286,62.82021,35616991543.000000,73040098212.000000
115,sobel_sequential,16384,6.21207,6.21056,67.11787,35716797769.000000,73038879402.000000
116,sobel_sequential,16384,6.35375,6.35197,66.78016,35708833616.000000,73048016239.000000
117,sobel_sequential,16384,6.29686,6.29395,65.701,35662222515.000000,73045871535.000000
118,sobel_sequential,16384,6.54444,6.54269,60.81552,35645595989.000000,73045453173.000000
119,sobel_sequential,16384,6.30342,6.30165,65.72053,35672858675.000000,73035313934.000000
120,sobel_openmp,512,0.00222,0.00977,0.04919,74423837.000000,76264816.000000
121,sobel_openmp,512,0.00213,0.01407,0.03302,68865076.000000,75848143.000000
122,sobel_openmp,512,0.00211,0.01112,0.02838,69776109.000000,75973305.000000
123,sobel_openmp,512,0.00223,0.0137,0.03235,71795877.000000,76082141.000000
124,sobel_openmp,512,0.0018,0.007,0.0575,169785165.000000,80822190.000000
125,sobel_openmp,512,0.00279,0.01967,0.07922,104345635.000000,77672604.000000
126,sobel_openmp,512,0.00183,0.00822,0.06976,71736260.000000,75945954.000000
127,sobel_openmp,512,0.0018,0.01217,0.05029,73376108.000000,76002654.000000
128,sobel_openmp,512,0.00178,0.01127,0.04566,72406040.000000,75943174.000000
129,sobel_openmp,512,0.00183,0.01185,0.04559,71501771.000000,76032055.000000
130,sobel_openmp,512,0.00179,0.00893,0.03864,73817947.000000,75884490.000000
131,sobel_openmp,512,0.00178,0.01018,0.04315,70213982.000000,75840741.000000
132,sobel_openmp,512,0.00846,0.05244,0.185,223899473.000000,83723202.000000
133,sobel_openmp,512,0.0018,0.00951,0.04071,70334476.000000,75924474.000000
134,sobel_openmp,512,0.0018,0.01248,0.05078,68990257.000000,75836550.000000
135,sobel_openmp,512,0.00178,0.01165,0.04724,70539726.000000,75992639.000000
136,sobel_openmp,512,0.00179,0.0123,0.04987,71436832.000000,75924588.000000
137,sobel_openmp,512,0.00177,0.00838,0.03644,70143570.000000,75921992.000000
138,sobel_openmp,512,0.00185,0.00782,0.06744,72048007.000000,76005381.000000
139,sobel_openmp,512,0.00184,0.01079,0.04602,77344674.000000,76086742.000000
140,sobel_openmp,1024,0.00699,0.04988,0.22565,271637412.000000,292479740.000000
141,sobel_openmp,1024,0.00624,0.04647,0.19434,249489957.000000,290970535.000000
142,sobel_openmp,1024,0.00615,0.04337,0.18457,250311763.000000,291186360.000000
143,sobel_openmp,1024,0.00615,0.04524,0.18841,248601600.000000,290845159.000000
144,sobel_openmp,1024,0.00619,0.04402,0.18512,248057962.000000,291049039.000000
145,sobel_openmp,1024,0.00617,0.04549,0.19104,254482656.000000,291060299.000000
146,sobel_openmp,1024,0.00617,0.04636,0.20654,248502911.000000,290821469.000000
147,sobel_openmp,1024,0.00616,0.0417,0.21362,251513252.000000,290969539.000000
148,sobel_openmp,1024,0.00621,0.04661,0.21045,251732736.000000,291009572.000000
149,sobel_openmp,1024,0.00619,0.04761,0.20892,249721326.000000,290861133.000000
150,sobel_openmp,1024,0.00614,0.0456,0.19299,249881105.000000,291009793.000000
151,sobel_openmp,1024,0.00617,0.04135,0.21631,249960433.000000,290858020.000000
152,sobel_openmp,1024,0.00622,0.04716,0.21149,250165542.000000,291075100.000000
153,sobel_openmp,1024,0.00616,0.0409,0.21271,250167172.000000,290943905.000000
154,sobel_openmp,1024,0.00624,0.04698,0.211,253728488.000000,291112884.000000
155,sobel_openmp,1024,0.01746,0.09306,0.4931,501041518.000000,303311307.000000
156,sobel_openmp,1024,0.00614,0.04569,0.19311,251289312.000000,291284854.000000
157,sobel_openmp,1024,0.00615,0.04178,0.21594,250138093.000000,290863273.000000
158,sobel_openmp,1024,0.00622,0.04372,0.18982,251085854.000000,290949018.000000
159,sobel_openmp,1024,0.00624,0.0466,0.1958,250522860.000000,290822580.000000
160,sobel_openmp,2048,0.02367,0.1811,0.8233,966044618.000000,1150666437.000000
161,sobel_openmp,2048,0.02397,0.18476,0.82336,968789964.000000,1151703509.000000
162,sobel_openmp,2048,0.02363,0.18426,0.81158,970104905.000000,1151347532.000000
163,sobel_openmp,2048,0.0236,0.18607,0.8172,965131589.000000,1150910699.000000
164,sobel_openmp,2048,0.02379,0.1873,0.82202,973372418.000000,1152056862.000000
165,sobel_openmp,2048,0.02388,0.18318,0.8479,974133803.000000,1151825704.000000
166,sobel_openmp,2048,0.02457,0.18821,0.85535,984890204.000000,1151684765.000000
167,sobel_openmp,2048,0.03262,0.245,1.04645,1165262312.000000,1161225307.000000
168,sobel_openmp,2048,0.04095,0.26745,1.14929,1233559256.000000,1167769864.000000
169,sobel_openmp,2048,0.02357,0.18691,0.82306,962945168.000000,1150425069.000000
170,sobel_openmp,2048,0.02363,0.18428,0.81207,971288823.000000,1150827888.000000
171,sobel_openmp,2048,0.02554,0.19887,0.8081,977265927.000000,1151462206.000000
172,sobel_openmp,2048,0.02864,0.22663,0.61474,967016025.000000,1151019653.000000
173,sobel_openmp,2048,0.02878,0.22709,0.61737,974800546.000000,1152457712.000000
174,sobel_openmp,2048,0.02862,0.22213,0.61792,957750883.000000,1150966561.000000
175,sobel_openmp,2048,0.02863,0.2248,0.60742,965421777.000000,1151383345.000000
176,sobel_openmp,2048,0.02893,0.22272,0.63122,961181990.000000,1150866624.000000
177,sobel_openmp,2048,0.02861,0.22368,0.60022,952493697.000000,1150637115.000000
178,sobel_openmp,2048,0.02858,0.22151,0.61682,964002477.000000,1151376639.000000
179,sobel_openmp,2048,0.02862,0.22548,0.60382,966058113.000000,1151159043.000000
180,sobel_openmp,4096,0.11366,0.90049,2.43701,3835126977.000000,4592297460.000000
181,sobel_openmp,4096,0.11341,0.90235,2.43804,3838029301.000000,4593204247.000000
182,sobel_openmp,4096,0.09397,0.74185,3.32714,3843503872.000000,4593664399.000000
183,sobel_openmp,4096,0.0935,0.74038,3.33617,3836131257.000000,4592572118.000000
184,sobel_openmp,4096,0.09741,0.77309,3.24108,3838190302.000000,4591833449.000000
185,sobel_openmp,4096,0.11464,0.90714,2.50469,3847985951.000000,4594846405.000000
186,sobel_openmp,4096,0.12653,0.98426,2.64391,4069661911.000000,4606606938.000000
187,sobel_openmp,4096,0.1133,0.90176,2.43273,3828189251.000000,4592901915.000000
188,sobel_openmp,4096,0.09458,0.74836,3.28466,3822040009.000000,4593089295.000000
189,sobel_openmp,4096,0.09356,0.74142,3.31255,3836509112.000000,4592011727.000000
190,sobel_openmp,4096,0.09374,0.74241,3.34582,3848146569.000000,4591735165.000000
191,sobel_openmp,4096,0.09433,0.74429,3.36755,3864885765.000000,4593338205.000000
192,sobel_openmp,4096,0.09355,0.743,3.31408,3839592974.000000,4591718143.000000
193,sobel_openmp,4096,0.09361,0.74485,3.34759,3857605132.000000,4592080135.000000
194,sobel_openmp,4096,0.0944,0.74834,3.37615,3845064645.000000,4591350490.000000
195,sobel_openmp,4096,0.09336,0.74384,3.35253,3878727685.000000,4595406287.000000
196,sobel_openmp,4096,0.11488,0.91233,2.49065,3863119070.000000,4595105448.000000
197,sobel_openmp,4096,0.11352,0.90402,2.44323,3825042423.000000,4592673773.000000
198,sobel_openmp,4096,0.11328,0.89745,2.45306,3813820602.000000,4590761785.000000
199,sobel_openmp,4096,0.11339,0.90358,2.45379,3842710228.000000,4592641466.000000
200,sobel_openmp,8192,0.38424,3.03297,13.91018,14786950576.000000,18349869451.000000
201,sobel_openmp,8192,0.38828,3.09113,13.01614,14588582685.000000,18337732859.000000
202,sobel_openmp,8192,0.45299,3.61193,9.94437,14598202571.000000,18338516896.000000
203,sobel_openmp,8192,0.37296,2.97528,13.53518,14612234820.000000,18337381769.000000
204,sobel_openmp,8192,0.40865,3.23892,12.94705,14848153760.000000,18347732955.000000
205,sobel_openmp,8192,0.44745,3.56179,10.23069,14634967014.000000,18343059963.000000
